product,type,logical_bytes,field_bytes,entries_per_key,keys,operation,connections,qps,p50_ms,p99_ms,p999_ms,requests,elapsed_seconds,seconds,client_cpu_cores,rx_mib_s
lavik,hash,65536,128,512,64,HGET,80,433493.84,0.175,0.367,0.479,3468666,9.382594492999488,8,6.366,75.124755859375
redis,hash,65536,128,512,64,HGET,80,460928.35,0.167,0.327,0.423,3687826,9.284080773999449,8,6.577,79.879208984375
valkey,hash,65536,128,512,64,HGET,80,525738.07,0.143,0.487,0.671,4206536,9.282862685999135,8,7.209,91.110791015625
lavik,hash,65536,128,512,64,HGET,320,564929.8,0.527,1.311,1.863,4523746,9.332543073000124,8,7.936,97.90259765625
redis,hash,65536,128,512,64,HGET,320,766984.86,0.383,0.999,1.719,6137850,9.334865326,8,10.275,132.91875
valkey,hash,65536,128,512,64,HGET,320,786549.32,0.351,1.255,3.071,6295201,9.333576113000163,8,10.292,136.309267578125
lavik,hash,65536,128,512,64,HGET,1280,529103.3,1.503,6.143,115.199,4245991,9.583792510999046,8,7.867,91.69384765625
redis,hash,65536,128,512,64,HGET,1280,965902.1,1.143,4.575,9.919,7740043,9.587019579001208,8,13.631,167.39125
valkey,hash,65536,128,512,64,HGET,1280,844256.66,1.247,4.671,11.839,6765395,9.585146593999525,8,11.547,146.310107421875
lavik,hash,65536,128,512,64,HGET,2560,477885.23,3.119,24.959,954.367,3846255,9.935063673001423,8,7.577,82.817734375
redis,hash,65536,128,512,64,HGET,2560,1043252.85,2.383,5.727,21.887,8375864,9.939821871997992,8,15.565,180.79630859375
valkey,hash,65536,128,512,64,HGET,2560,868299.31,2.527,6.847,25.215,6971721,9.937636045000545,8,12.686,150.47673828125
lavik,hash,65536,128,512,64,HGET,5120,451027.18,2.639,59.135,974.847,3637946,10.686939900002471,8,7.741,78.16326171875
redis,hash,65536,128,512,64,HGET,5120,814351.15,5.439,17.791,64.511,6562531,10.641422402000899,8,13.222,141.127275390625
valkey,hash,65536,128,512,64,HGET,5120,686155.71,6.911,27.647,78.335,5528220,10.589113670001097,8,11.17,118.9110546875
lavik,hash,65536,128,512,64,HGETALL,16,13752.63,1.295,1.823,2.047,110032,9.380536370998016,8,1.597,1014.52212890625
redis,hash,65536,128,512,64,HGETALL,16,24103.4,0.663,0.775,1.103,192837,9.232300294999732,8,2.858,1778.090869140625
valkey,hash,65536,128,512,64,HGETALL,16,12838.83,1.239,1.495,1.719,102715,9.480863937998947,8,1.522,947.1112109375
lavik,hash,65536,128,512,64,HGETALL,80,36406.49,2.079,5.663,7.199,291293,9.282566133999353,8,4.948,2685.681123046875
redis,hash,65536,128,512,64,HGETALL,80,25147.38,3.167,3.855,7.391,201234,9.282358462001866,8,3.214,1855.105
valkey,hash,65536,128,512,64,HGETALL,80,10992.93,7.615,9.535,10.431,87980,9.280427575999056,8,1.282,810.940830078125
lavik,hash,65536,128,512,64,HSET,80,6419.51,0.191,99.327,103.935,51661,9.28176387900021,8,0.098,1.137001953125
redis,hash,65536,128,512,64,HSET,80,450041.39,0.175,0.335,0.431,3600886,9.283284436998656,8,6.47,79.709453125
valkey,hash,65536,128,512,64,HSET,80,554011.4,0.135,0.287,0.407,4433125,9.28351600699898,8,7.726,98.124189453125
lavik,hash,65536,128,512,64,HSET,320,6448.06,0.231,401.407,409.599,52889,9.332340565000777,8,0.134,1.14205078125
redis,hash,65536,128,512,64,HSET,320,749511.49,0.399,0.967,1.583,6000933,9.33428665899919,8,10.052,132.74966796875
valkey,hash,65536,128,512,64,HSET,320,715527.52,0.415,1.007,2.287,5726771,9.333474431001378,8,9.23,126.730615234375
lavik,hash,65536,128,512,64,HSET,1280,6846.14,95.231,1040.383,1097.727,57427,10.633209901003283,8,0.321,1.212568359375
redis,hash,65536,128,512,64,HSET,1280,927859.11,1.159,4.607,11.711,7436260,9.586449647002155,8,13.123,164.338017578125
valkey,hash,65536,128,512,64,HSET,1280,764578.58,1.583,4.159,10.943,6133746,9.635022692000348,8,10.59,135.4185546875
lavik,hash,65536,128,512,64,HSET,2560,7126.88,264.191,1409.023,1425.407,60435,10.984226729997317,8,0.588,1.262294921875
redis,hash,65536,128,512,64,HSET,2560,969908.89,2.447,6.591,23.679,7787671,10.94054447400049,8,13.032,171.785712890625
valkey,hash,65536,128,512,64,HSET,2560,744889.19,3.247,6.815,27.263,5989508,9.937183155998355,8,11.0,131.93115234375
lavik,hash,65536,128,512,64,HSET,5120,7409.71,606.207,2277.375,2375.679,65412,12.637060494998877,8,0.95,1.312373046875
redis,hash,65536,128,512,64,HSET,5120,804185.06,5.663,18.175,57.343,6480498,11.5932908399991,8,11.976,142.43310546875
valkey,hash,65536,128,512,64,HSET,5120,595487.95,8.159,30.335,61.439,4804794,10.58913395199852,8,9.78,105.46970703125
lavik,hash,65536,1024,64,64,HGET,80,495023.99,0.159,0.295,0.351,3960735,9.283320594000543,8,7.169,509.254169921875
redis,hash,65536,1024,64,64,HGET,80,447320.81,0.175,0.335,0.431,3579891,8.28176073099894,8,6.494,460.179755859375
valkey,hash,65536,1024,64,64,HGET,80,560979.07,0.135,0.271,0.407,4488513,9.282613890998618,8,7.847,577.105224609375
lavik,hash,65536,1024,64,64,HGET,320,691516.57,0.447,0.943,1.415,5536783,9.333668041999772,8,9.087,711.395166015625
