size_bytes,operation,connections,product,qps,p99_ms,source
2048,GET,80,Lavik,322680.4,0.359,lavik-baseline
2048,GET,80,Redis,361242.52,0.407,redis
2048,GET,80,Valkey,428827.88,0.351,valkey
2048,GET,320,Lavik,643559.18,1.415,lavik-baseline
2048,GET,320,Redis,615924.35,1.295,redis
2048,GET,320,Valkey,615425.29,1.327,valkey
2048,GET,640,Lavik,714794.97,3.855,lavik-baseline
2048,GET,640,Redis,697281.07,3.359,redis
2048,GET,640,Valkey,680529.46,3.695,valkey
2048,GET,1280,Lavik,674469.39,13.951,lavik-baseline
2048,GET,1280,Redis,792114.4,4.863,redis
2048,GET,1280,Valkey,666406.66,4.479,valkey
2048,GET,2560,Lavik,635193.32,38.655,lavik-high
2048,GET,2560,Redis,817213.32,6.847,redis
2048,GET,2560,Valkey,771091.45,8.319,valkey-high2k
2048,GET,5120,Lavik,579825.99,82.943,lavik-high
2048,GET,5120,Redis,688365.33,19.199,redis
2048,GET,5120,Valkey,583369.26,19.583,valkey-high2k
2048,SET,80,Lavik,395446.79,1.087,lavik-baseline
2048,SET,80,Redis,390367.57,0.383,redis
2048,SET,80,Valkey,457613.21,0.319,valkey
2048,SET,320,Lavik,550107.35,2.671,lavik-baseline
2048,SET,320,Redis,625400.88,1.119,redis
2048,SET,320,Valkey,518434.69,1.095,valkey
2048,SET,640,Lavik,566235.52,3.807,lavik-baseline
2048,SET,640,Redis,689949.37,3.103,redis
2048,SET,640,Valkey,597028.67,2.703,valkey
2048,SET,1280,Lavik,531754.31,6.303,lavik-baseline
2048,SET,1280,Redis,716114.9,5.055,redis
2048,SET,1280,Valkey,538916.67,5.695,valkey
2048,SET,2560,Lavik,456925.94,13.055,lavik-high
2048,SET,2560,Redis,652942.58,8.511,redis
2048,SET,2560,Valkey,573899.23,11.775,valkey-high2k
2048,SET,5120,Lavik,404797.02,26.111,lavik-high
2048,SET,5120,Redis,524795.17,21.759,redis
2048,SET,5120,Valkey,422485.2,27.263,valkey-high2k
4096,GET,80,Lavik,306636.09,0.383,lavik-baseline
